Species,ID,N,wdepth,veg,wtemp,leaf,warea,pH
A,1,4,4.629207841,Broad,-1.782417944,1,1.594135896,5.99847423057734
A,2,3,6.546289394,Broad,-0.365246584,1,1.200485209,6.216383607224628
A,3,0,6.702731911,Broad,-0.805982727,1,1.64789225,7.00250209925482
A,4,3,2.515076532,Broad,0.481209492,0,2.23249395,6.801028341915674
A,5,6,5.793679098,Broad,-0.813979077,0,0.937514419,6.79652546444993
A,6,0,6.313009908,Conifer,-1.770295826,0,1.776351223,7.167880069337253
A,7,6,6.878183132,Broad,-1.359603135,1,2.239946625,7.709245199658382
A,8,0,6.099726677,Broad,-0.529457006,0,2.439391625,6.695671863995328
A,9,4,7.835128458,Conifer,-1.427277013,0,2.379517798,7.521178103549602
A,10,0,7.142546482,Conifer,-1.812315016,0,4.538392564,8.286280040388881
A,11,1,4.705310382,Conifer,-1.244489174,0,3.110062074,7.366967475675072
A,12,4,5.435867478,Broad,-0.932479492,1,3.037798226,8.146463397359765
A,13,3,9.011770677,Conifer,-1.868127613,1,2.753252227,7.126356589134328
A,14,11,5.151271218,Broad,-0.345349858,1,1.190488118,6.274207727009166
A,15,0,2.829674298,Conifer,-0.345797954,1,1.828443157,8.574751586745482
A,16,2,7.435479634,Broad,-0.970069115,1,1.841478852,7.0708034051322155
A,17,13,4.164736048,Broad,-0.321539786,0,2.002164238,6.9291838332439974
A,18,3,8.576527166,Broad,-1.8857661,1,1.421860326,6.0663567416163815
A,19,0,3.842024129,Conifer,-1.167904311,0,3.407695888,7.59244535890448
A,20,0,4.880560153,Conifer,-2.051151197,0,1.50993683,5.845291237573622
A,21,1,4.399855384,Broad,-0.231950008,0,0.632836563,7.417389033100586
A,22,0,6.987758144,Conifer,-1.589852157,1,3.928619065,6.949222333333184
A,23,20,5.662228226,Broad,-1.055111383,1,2.440799246,7.428455700310943
A,24,1,3.649766809,Conifer,-1.02263546,1,2.3082426640000002,6.735545887079493
A,25,12,8.871904036,Broad,-1.702212752,0,3.223054757,6.709598365730604
A,26,0,2.212515366,Conifer,-0.722568386,0,2.874259548,8.096727508077805
A,27,2,5.093109873,Conifer,-0.721837917,1,2.653185677,7.243777379399279
A,28,0,3.207217154,Broad,-0.419671107,1,1.338080449,8.736477588296557
A,29,8,8.807014182,Broad,-1.913781998,1,2.282427729,6.033480754835118
A,30,5,5.980674337,Broad,-1.320639465,1,1.663623866,5.7605150244118395
A,31,3,4.648084968,Broad,-1.268863739,1,1.852367881,6.929538722531567
A,32,2,4.305217673,Broad,-0.81701534,0,2.08898133,6.844671994328931
A,33,0,3.650817301,Broad,-0.111372541,0,0.892876654,5.904816420031836
A,34,4,9.123751645,Broad,-2.100268636,0,1.673678888,6.3204633165219555
A,35,2,7.932102324,Broad,-1.785868907,0,1.450855855,6.025384790139812
